"","depth_of_cut","feed_rate","spindle_rate","POWER","ROUGHNESS","Machine"
"1","1 mm",134,950,46.7192944444444,0.84,"PB"
"2","1 mm",134,1187.5,47.3029027777778,0.469,"PB"
"3","1 mm",134,1425,47.3470777777778,1.089,"PB"
"4","1 mm",134,1662.5,47.8001888888889,0.879,"PB"
"5","1 mm",134,1900,48.8358861111111,0.63,"PB"
"6","1 mm",167.5,950,38.0060138888889,0.324,"PB"
"7","1 mm",167.5,1187.5,38.2934527777778,1.733,"PB"
"8","1 mm",167.5,1425,38.3292833333333,1.171,"PB"
"9","1 mm",167.5,1662.5,38.4081083333333,1.357,"PB"
"10","1 mm",167.5,1900,31.9917472222222,0.601,"PB"
"11","1 mm",201,950,31.9917472222222,0.451,"PB"
"12","1 mm",201,1187.5,31.8519361111111,1.742,"PB"
"13","1 mm",201,1425,32.2992833333333,1.016,"PB"
"14","1 mm",201,1662.5,32.6228083333333,1.107,"PB"
"15","1 mm",201,1900,33.556725,0.567,"PB"
"16","1 mm",234.5,950,27.6017583333333,0.42,"PB"
"17","1 mm",234.5,1187.5,27.9208416666667,1.825,"PB"
"18","1 mm",234.5,1425,28.2515722222222,1.211,"PB"
"19","1 mm",234.5,1662.5,28.6502666666667,1.334,"PB"
"20","1 mm",234.5,1900,29.0202416666667,0.642,"PB"
"21","1 mm",268,950,24.5105361111111,0.42,"PB"
"22","1 mm",268,1187.5,24.8758333333333,1.346,"PB"
"23","1 mm",268,1425,24.3944361111111,1.128,"PB"
"24","1 mm",268,1662.5,25.1074083333333,0.611,"PB"
"25","1 mm",268,1900,25.0221166666667,0.489,"PB"
"26","1.5 mm",134,950,46.0073611111111,0.942,"PB"
"27","1.5 mm",134,1187.5,47.4109777777778,0.687,"PB"
"28","1.5 mm",134,1425,47.7010833333333,1.48,"PB"
"29","1.5 mm",134,1662.5,48.1449472222222,0.427,"PB"
"30","1.5 mm",134,1900,50.1285638888889,0.609,"PB"
"31","1.5 mm",167.5,950,39.065575,1.12,"PB"
"32","1.5 mm",167.5,1187.5,39.0851027777778,1.164,"PB"
"33","1.5 mm",167.5,1425,40.388325,1.581,"PB"
"34","1.5 mm",167.5,1662.5,41.1856666666667,0.736,"PB"
"35","1.5 mm",167.5,1900,41.9526111111111,2.181,"PB"
"36","1.5 mm",201,950,33.0430138888889,0.875,"PB"
"37","1.5 mm",201,1187.5,33.6816,0.931,"PB"
"38","1.5 mm",201,1425,32.5704638888889,0.828,"PB"
"39","1.5 mm",201,1662.5,32.6863472222222,0.739,"PB"
"40","1.5 mm",201,1900,32.9317861111111,2.072,"PB"
"41","1.5 mm",234.5,950,27.4999888888889,0.647,"PB"
"42","1.5 mm",234.5,1187.5,27.7445555555555,1.269,"PB"
"43","1.5 mm",234.5,1425,28.5408472222222,1.245,"PB"
"44","1.5 mm",234.5,1662.5,28.9290111111111,0.53,"PB"
"45","1.5 mm",234.5,1900,28.9498416666667,1.446,"PB"
"46","1.5 mm",268,950,24.6252027777778,1.156,"PB"
"47","1.5 mm",268,1187.5,25.5596888888889,0.821,"PB"
"48","1.5 mm",268,1425,26.1106638888889,0.939,"PB"
"49","1.5 mm",268,1662.5,25.6911805555556,0.431,"PB"
"50","1.5 mm",268,1900,26.7463777777778,1.782,"PB"
"51","2 mm",167.5,950,38.6255333333333,1.153,"PB"
"52","2 mm",268,950,26.9081805555556,1.086,"PB"
"53","2 mm",234.5,950,29.0288555555556,0.985,"PB"
"54","2 mm",201,950,33.0498388888889,1.212,"PB"
"55","2 mm",134,950,45.9051027777778,2.723,"PB"
"56","2 mm",167.5,1187.5,38.7160388888889,1.875,"PB"
"57","2 mm",268,1187.5,23.7176666666667,0.768,"PB"
"58","2 mm",134,1187.5,45.840575,1.106,"PB"
"59","2 mm",234.5,1187.5,29.4573055555555,0.852,"PB"
"60","2 mm",201,1187.5,33.7904138888889,1.178,"PB"
"61","2 mm",167.5,1425,38.7992861111111,0.556,"PB"
"62","2 mm",134,1425,46.7606805555556,0.611,"PB"
"63","2 mm",268,1425,27.8099333333333,0.412,"PB"
"64","2 mm",234.5,1425,29.9272138888889,0.289,"PB"
"65","2 mm",201,1425,34.2789861111111,0.411,"PB"
"66","2 mm",167.5,1662.5,40.0464277777778,0.503,"PB"
"67","2 mm",134,1662.5,47.1301333333333,0.549,"PB"
"68","2 mm",268,1662.5,27.7002611111111,0.925,"PB"
"69","2 mm",234.5,1662.5,30.7236888888889,0.594,"PB"
"70","2 mm",201,1662.5,34.6022638888889,0.541,"PB"
"71","2 mm",134,1900,49.2752916666667,0.897,"PB"
"72","2 mm",268,1900,29.7159138888889,0.407,"PB"
"73","2 mm",234.5,1900,31.8131944444444,0.777,"PB"
"74","2 mm",201,1900,35.6427277777778,0.754,"PB"
"75","2 mm",167.5,1900,40.9134361111111,0.484,"PB"
"76","2.5 mm",134,950,48.9256638888889,0.866,"PB"
"77","2.5 mm",134,1187.5,50.5593472222222,0.585,"PB"
"78","2.5 mm",134,1425,50.3860694444445,0.283,"PB"
"79","2.5 mm",134,1662.5,52.3251388888889,0.665,"PB"
"80","2.5 mm",134,1900,53.3023777777778,0.535,"PB"
"81","2.5 mm",167.5,1900,44.6705611111111,0.948,"PB"
"82","2.5 mm",167.5,950,41.1150666666667,0.711,"PB"
"83","2.5 mm",167.5,1187.5,40.53375,0.4,"PB"
"84","2.5 mm",167.5,1425,42.6477555555556,0.442,"PB"
"85","2.5 mm",167.5,1662.5,42.9996055555556,0.432,"PB"
"86","2.5 mm",201,950,35.4209694444445,1.217,"PB"
"87","2.5 mm",201,1187.5,34.4323,0.943,"PB"
"88","2.5 mm",201,1425,36.1728388888889,0.546,"PB"
"89","2.5 mm",201,1662.5,37.7279611111111,0.844,"PB"
"90","2.5 mm",201,1900,38.8748694444444,0.55,"PB"
"91","2.5 mm",234.5,950,31.0322111111111,1.731,"PB"
"92","2.5 mm",234.5,1187.5,31.18795,1.061,"PB"
"93","2.5 mm",234.5,1425,31.9505472222222,0.791,"PB"
"94","2.5 mm",234.5,1662.5,33.7626972222222,1.443,"PB"
"95","2.5 mm",234.5,1900,34.6255,0.787,"PB"
"96","2.5 mm",268,950,28.0704666666667,0.61,"PB"
"97","2.5 mm",268,1187.5,28.2024583333333,0.7,"PB"
"98","2.5 mm",268,1425,28.3274305555556,1.013,"PB"
"99","2.5 mm",268,1662.5,29.8149555555556,0.656,"PB"
"100","2.5 mm",268,1900,32.1171444444444,0.651,"PB"
"101","3mm",134,950,48.6703528331454,0.838492104109297,"PB"
"102","3mm",134,1187.5,49.2608711108231,0.797022576957868,"PB"
"103","3mm",134,1425,49.811652345751,0.749809788763423,"PB"
"104","3mm",134,1662.5,50.3703960179442,0.698660458478992,"PB"
"105","3mm",134,1900,50.9351793801684,0.652082835616961,"PB"
"106","3mm",167.5,950,43.3423796787974,0.835950987486763,"PB"
"107","3mm",167.5,1187.5,43.9268237599115,0.798991894421986,"PB"
"108","3mm",167.5,1425,44.4832061844065,0.741458850889014,"PB"
"109","3mm",167.5,1662.5,45.0453177322089,0.697285955645626,"PB"
"110","3mm",167.5,1900,45.5798511807384,0.650088879779348,"PB"
"111","3mm",201,950,38.0411711380833,0.835191361248173,"PB"
"112","3mm",201,1187.5,38.6060970246546,0.78898784244228,"PB"
"113","3mm",201,1425,39.1894959541755,0.740888060441091,"PB"
"114","3mm",201,1662.5,39.7074140265239,0.6936105201338,"PB"
"115","3mm",201,1900,40.2650135538801,0.644282473766963,"PB"
"116","3mm",234.5,950,32.7041488810537,0.8348953733311,"PB"
"117","3mm",234.5,1187.5,33.2863819678459,0.782677301492558,"PB"
"118","3mm",234.5,1425,33.817546118064,0.738572910004517,"PB"
"119","3mm",234.5,1662.5,34.3778193877565,0.685225580837452,"PB"
"120","3mm",234.5,1900,34.932639000342,0.640439774927214,"PB"
"121","3mm",268,950,27.377921941545,0.830627831098353,"PB"
